/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress,/AccountIDs
"f3b4b261-8b54-4c58-aaf7-f83d62db2dea","RANKED_SOLO_5x5","DIAMOND","IV","D7aQm8omfRdHYR_TdEIfsH6YUqZGiLyZPKQEsS1-iAPi3z1f","Kamciø",5.0,19.0,13.0,false,false,true,false,,,,,q7vj73JWxLQXk0UTscwpIUPZJXsq7jjCl10htePlCv2cy0c
"024c80dd-942c-48ba-9a40-2a784d76b55f","RANKED_SOLO_5x5","DIAMOND","IV","vg1ABBBHEvrQgvzdSM4a83kGV0jl2jFUpREpLfqKj8f7Cdae","H2K Murder",75.0,32.0,34.0,false,false,false,false,,,,,CO1WiYCPl7Jn8Cx40qQsrwyIFyUC_9WBeySx9skaAqCIwa8
"0cd7f512-57b8-4125-8a33-85b1397f7056","RANKED_SOLO_5x5","DIAMOND","IV","ca_jkAmHTSAUmAoysjb7R5paHAGZ4O3XBCYsYxlRMdQxZI81","AZN Yano",0.0,49.0,70.0,false,false,true,false,,,,,QpFw7zK9DvuqCTK-vripki2bm13wv03nlzzn7fYIWTgdliA
"84cf6f0b-01e0-463f-8137-cb6d986d8d9a","RANKED_SOLO_5x5","DIAMOND","IV","AuKTSRiOfR3cqxRl-l2OUiZYfd-UzQngw4zalEyDa_HkmbH1","LoLTookMyMoney",0.0,94.0,87.0,false,false,true,false,,,,,YRxpU_FHSOkK6bz6rpPnnrCq8a4wF-eR6zKIwoicGtCxxaI
"e265eec6-4607-4fef-86f9-9cd9fcef701e","RANKED_SOLO_5x5","DIAMOND","IV","YUymWfZpO9foD9TVztf3k_r4TnsRTI-Nv80J9ReY7NkznTy7","Lucky You",47.0,37.0,25.0,false,false,false,false,,,,,zFZftwpl7uu-CX8Ko5wLQno73N9EbC00SlTjLYlbO7RQHTI
"eb26533b-911b-4c4f-b62c-c9787f6a862c","RANKED_SOLO_5x5","DIAMOND","IV","nCeqmbBvDuHa_IxnjqGok_5bo-iW6Wk6UKFhaBHDm9MmMDZx","TulipZ",57.0,91.0,99.0,false,false,false,false,,,,,xMzawV4Rl3PeyEoLO7CQCnH4R7c51c1lfoq68uSiIeO-pOM
"9ea84b7b-b3a1-4a30-8ed3-04389ad412c3","RANKED_SOLO_5x5","DIAMOND","IV","ZHuedq4T0iRQEN8qQG04zNFSG9fkoF9oz0xpA-JGtKZw","Kniven",0.0,43.0,35.0,false,false,false,false,,,,,OOqrOsN8S5To_cb3oMFEAy1EpidZzs8R_MOdkfpK4Cc
"75edb21f-010a-49ec-8f40-edd38d625bb1","RANKED_SOLO_5x5","DIAMOND","IV","GmqqiTw-b9icpWeVjFUjCQqqJ9MSUY4GmC75OCd3z5lYi1AL","Pink Kitty",0.0,126.0,123.0,false,false,false,false,,,,,hR1LOBCf0DvfLIJQeF4nFLDAKHQR5bDpK1mxH5ZqM67B2Hs
"0aecda46-d40d-4b11-9835-f69a51fcabc3","RANKED_SOLO_5x5","DIAMOND","IV","h9kDhpE0W-G-QI49B-UEGpv0dGJbCRC8wufSgAlmNLnAOqlR","Rhodok Sergeant",73.0,55.0,74.0,false,false,false,false,,,,,laACdu_9_46iI1dOLd0Y3-9gBygQXsZWje8Kqc7gMVTl8x0
"bd618839-01ad-4445-b702-68fd340baa46","RANKED_SOLO_5x5","DIAMOND","IV","F11sdKzbMnB805RSyCQp7_MHABTdOoF3YPPcFg1zYcZjzGQc","0111017441812101",11.0,61.0,66.0,false,false,false,false,,,,,uKp69s69r9ISKhPAhkRlBn7NN9xpcu26ri2vuOUmNdrF2k8
"bfd51868-3f68-4758-b5d2-c8bfa00975e3","RANKED_SOLO_5x5","DIAMOND","IV","qmgzliWrNlH0bqBjIvLVenqf3e46R0x69hqo2rOrsNa9rCMf","Soraka Hatsune",100.0,78.0,82.0,false,false,false,false,2.0,0.0,0.0,"NNN",4PvIKR3GPrH6L-xwUNJVZbEdzFC7MhuHuEgXGOuG8pYrGKk
"d170b386-5dbe-454a-95d0-e8f191dd5a43","RANKED_SOLO_5x5","DIAMOND","IV","qN6OTNPz8u1zuZvSjJihApODXhDyWW_yvrQOAwztcsK8Knb_","Xoyoh",21.0,239.0,234.0,false,false,false,false,,,,,gsLuAiyaZRP2ch5MEwfO5rN5qtjcpbqjU4rN1LvHXhZYE9U
"d749df2f-3193-402b-98f6-bfbbb8d64441","RANKED_SOLO_5x5","DIAMOND","IV","90eURZQM6ZxdZRDULvBWBdW_rz_qprKcBfxkR7kbU8JOLPVK","He was RlGHT",14.0,134.0,112.0,false,false,false,false,,,,,_PKosxhA8vtKkP_v-iPzVr0hndQlgmkwFMxgTFbcQ84qOD4
"e3953dda-d151-4196-9c81-64c3a665be9a","RANKED_SOLO_5x5","DIAMOND","IV","Kk1WM8vZjgv-RAtw15H4f2xqaQAnrwlfL2ppavX2WeVIhPLQ","Mystie",0.0,89.0,88.0,false,false,false,false,,,,,3J4b-lFm2X64uPWtQHJcX2OVrqySjrWRKvCTEyLK2XVON5Q
