/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress,/AccountIDs
"15c2813a-14ae-41e4-bd0c-2258f2c89038","RANKED_SOLO_5x5","PLATINUM","I","iHSpDyWeyU_30ix3pKdLyPjWQXdZErMn5U-Jtjt15tniKJ1q","Loternop",9.0,14.0,16.0,false,false,false,false,,,,,3_3AQ76KI_MHfLYkvyRDa1N1F-UXQFy1-nAEeDPPinMx7ys
"e11e6f6c-c493-4c3d-9a2c-b29ee182fedb","RANKED_SOLO_5x5","PLATINUM","I","qV9RYerYOOYOtBIrp4YINz4syT3txqV_usfkdMrnVIC_BMzo","SOGD Dnesi",41.0,42.0,34.0,false,false,false,false,,,,,Fq9dfdlCk1y7c1aFjvIyZskQCp7Jw2q9_ft4ScRGVFmlBr0
"ffaf02c1-0bc5-494a-88b4-40a396cc72e7","RANKED_SOLO_5x5","PLATINUM","I","gvlyEMgmaMM1h6roNZxXUBNImZNm0eo7f0WG1AcD7PhgWJmc","Rultal ",63.0,20.0,13.0,false,false,false,false,,,,,8QZ7SyONXZMDTfmVxd7rf_Hgx_sfN418Ff9FlV5COPFTGVU
"81587747-66e2-4fdb-95b0-1f8808455692","RANKED_SOLO_5x5","PLATINUM","I","5L2jyYQ396tdbjT9VYTo9oHON9eAE-3GwBWL-KxdFUL_ZzHW","Cöconut tree",21.0,11.0,21.0,false,false,false,false,,,,,rjOxJBSxigRZFjmkcG3BPX3tEuM9AyC1hhRYXCgYT5BZWYs
"73f3d367-512d-48db-9869-de759776044c","RANKED_SOLO_5x5","PLATINUM","I","SAzvgI2f20EMmVt9B1UF8FPzbymJh_iJC5114jxnk1kkd4TE","Mìmí",0.0,71.0,49.0,false,false,false,false,,,,,6ZI1jwGxBaC--GTthUFcyBFQBowYgIWn7cBOUJ7Ngyo1Me8
"0951da49-f412-46dc-9d96-3bfb07fb0dc6","RANKED_SOLO_5x5","PLATINUM","I","TsCwSzHeFV-WzBaGa6-nmm2LVwpzAdrwqf8mogKCRcvOtkIc","LTF RicardoMilos",5.0,37.0,52.0,false,false,false,false,,,,,v5yILBE9XFGLAR9zhP8_IxqrjXtcELsSmm0B1W6wlYnPoGA
"89ae72ae-37ec-4922-922e-9c5d2ad069b5","RANKED_SOLO_5x5","PLATINUM","I","QQf2U8aDP7IfRodqT0ccI_HkqENWgZbHU7q8ugqXx_4chYQr","Fiven",40.0,20.0,11.0,false,false,false,false,,,,,AbiGzbjvetwz6J8ie-vptvkzKiWnGsUtx2wdN2TsFoS0NXg
"a4944381-c5c8-412c-8db1-d8b499251362","RANKED_SOLO_5x5","PLATINUM","I","kWvYB_-yUJ_p7B_fkYbGDXLQeyCbe2SVB620tVgqu7Ynl-dR","SpinnerGaren",63.0,28.0,26.0,false,false,false,false,,,,,DpUYxpgYWv5MpBRV1v-78N9H_Qxj8V_Pa_GqV_FvvpsvMnw
"b39de098-ad51-4f5b-9ae1-c55e2bf27fc9","RANKED_SOLO_5x5","PLATINUM","I","5dvbZtlRxD4wtfTgY2r6e4Cvij8QYf6sjCYLewUlrM1hvRg-","BABAO",29.0,39.0,28.0,false,false,false,false,,,,,Y0B4D3v2o3DKqeexphAoIcNtYNSnLt8y3jb29wbajANVkl4
"f6b0a062-401f-41c4-a8f8-d622db6040f8","RANKED_SOLO_5x5","PLATINUM","I","e_rDuJ0xv2jLjgPfEfL5YNP8C97U-oMBZPyaH1uTNEwt4FWu","U K",86.0,9.0,3.0,false,false,false,false,,,,,nUodDc1GwhzzWBaUm9ltSTK8uGSoj-NczxCCuwGkZ7nDrys
"cd127f42-2630-45ba-bfcc-bf2f6d2323d1","RANKED_SOLO_5x5","PLATINUM","I","arpgF5ZkN3vIV-QwTUJCjD6Ycz6U0jID2001K4kX1OLEtpC8","Geronimoo2",25.0,77.0,56.0,false,false,false,false,,,,,b8iyjzAcydki8YflHF5ST4Z_dl0grJRUhz0vxaYLbSnC5mU
"eefdd541-93b6-4c4f-9076-19394ef8f485","RANKED_SOLO_5x5","PLATINUM","I","nybaKtePZZU17ufYMHA1sIhp5ARbGkOgQ-JOxM-E4QJq6s7D","berserker qiyana",61.0,11.0,23.0,false,false,false,false,,,,,gp49boiDU-LyszsVXmfzHpHW5fLYHVGVmJosK_UEVeOa-Hc
"46c025a6-f04a-444f-aa13-bc778d0f09a2","RANKED_SOLO_5x5","PLATINUM","I","95DgN7Jp8lz4thL6t7VatSq0g_ZCYdImJ_HiQU4MAckrwxmb","Claus120500",47.0,13.0,15.0,false,false,false,false,,,,,ydZMsUU-sfV90vbFoOKyi4GwFizRb6IuoW9F4oU5-FajpnA
"bf8bf03c-aabb-481a-a60d-6caf365d36a0","RANKED_SOLO_5x5","PLATINUM","I","D680WEDTfmr2kRM9mZAicEaqUX9r4J3_NCgCPmqopvchnhcz","S10 ELO HÉLL",75.0,25.0,36.0,false,false,false,false,,,,,I-F2v-W9Sdl8hHZHO5Xn9Mafdj2y2SDI60prnfDlwTHtDzs
"e38f059f-f3ee-46c5-b903-19b7381a1176","RANKED_SOLO_5x5","PLATINUM","I","ciuOewWivYC1s3-m3KARmVzZQ6F7_KyNB3V7aFk4dLxp7_Au","Lipp SyNx",49.0,15.0,14.0,false,false,false,false,,,,,Te0rgZoyLD7c2u_Kjntc7RkpI-HrE0i5qvFHXfRZOuX1OMc
"9b505d11-a43a-4fbe-b9ef-3b804593017b","RANKED_SOLO_5x5","PLATINUM","I","fMfW7NUeD4-MFOv-hjGLzY1RegIUSrZsv0VMnHzb2dEsMOSE","King Smurf",12.0,14.0,15.0,false,false,false,false,,,,,LlPgsjAuTMaAtPzzEhQl-PdYZLa2cI5iQSlJ4VnG9pvls14
"36c12cc9-73fb-484b-aebf-6e6cb7041f1a","RANKED_SOLO_5x5","PLATINUM","I","Bpm2alqREVkfvAoXfKRwsXT5yAKdfji1ORFk7mYErH8MamT5","Darcigh",94.0,84.0,84.0,false,false,false,true,,,,,5pD2TwzNvoAv9eT2yYStTmO7wv-Sx-HCh5VG_7SCHqu9DHg
"4daf5200-0266-4e77-958a-d94eba6d71ca","RANKED_SOLO_5x5","PLATINUM","I","tkVkO7aHJtrtu9fgGUJpvQGfRxevt2qP3gCTEepYhUY7k03y","Quinncidences",100.0,17.0,11.0,false,false,false,true,3.0,1.0,0.0,"WNNNN",h9K3MX6J1B7GQXcIpyGwdmTv5JHOFCqbH8-l6UE_92hFZvY
"a223ab13-86d7-406c-a3ef-30263910dd64","RANKED_SOLO_5x5","PLATINUM","I","Be-G8-JryXh-e1R00BvJJvdPzajSPewMsRQo_g6nzzMfcmNd","Kàtarìna",56.0,89.0,79.0,false,false,false,true,,,,,xCYXk7oBqBxwNJD1rU-hIxvciQuSXD5-VcrwIlWsWQlhP74
"b0fe698c-8598-4ecb-9d80-663d0097f26b","RANKED_SOLO_5x5","PLATINUM","I","77-eV_LAhzSzdSRsp2pRdor5zWBKQCgZW63dnYRVld5IvCJu","ScriptingIsLife",80.0,13.0,6.0,false,false,true,false,,,,,aDqpnLkIWt6yXoVqVQi5JPSw_L-EWMMmmGIOwdfFW4OLkmo
"0f8f8e72-496e-49a6-b053-24dfc78f21f3","RANKED_SOLO_5x5","PLATINUM","I","2IMlnLvMFz__Ro239DXipjYpzuUe-Vzzdw1Whe1CRILXIh6m","Talonly317",54.0,227.0,217.0,false,false,true,false,,,,,E8_CLBuWPoklcT3IzR-nfyClNULclkrzWjWRZijTVjF8JKM
"82778cc0-08a8-4a91-a138-3716f3576194","RANKED_SOLO_5x5","PLATINUM","I","p358pGMq4QXvO9RNlcHwdHZbi1fx5QFlmDwPgW9f6kWyRx_O","TheChineseCarry",100.0,12.0,13.0,false,false,false,true,3.0,2.0,0.0,"WWNNN",oHQqPRLF84DBjWJbOGwTgYTlIzt7scC4JOeD-LEf_Rua2Ys
"2891e416-03ec-493f-8acf-35a49b81d514","RANKED_SOLO_5x5","PLATINUM","I","KLGbT4QY2DjCCvaQ6WDTQhU7juTel7CvNwlqfiXKA9ynKSrK","Nezilis",79.0,21.0,27.0,false,false,false,false,,,,,lkEnFuYbY48o5jVC7emj3PbGl8u5k-9rBX2bXr7mBC1_fh8
"2da0162b-62fe-4f88-8b7b-9a4c5a34031e","RANKED_SOLO_5x5","PLATINUM","I","Mht6pxmTGg9YMq5lyxK0ETZOiftEB6ogKxVkkgR2W-vJWKgg","G2 Danxer",0.0,116.0,109.0,false,false,false,false,,,,,LpUvHfOXuwbBV0ygtwRCtVQt3-wDwcnTbDg4Yre1MtaR1QQ
"a4944381-c5c8-412c-8db1-d8b499251362","RANKED_SOLO_5x5","PLATINUM","I","gcPVFMQXjygtwCqrZy7vlyHmkKeSjgdCw-cdEFo-RzreF1jN","PÆlN",1.0,48.0,52.0,false,false,false,false,,,,,o8zdDhqHRhIRYjWxT6J3WEvC5zLy1xG4ev2kLYA6H0yG56U
"be80e7fc-f1d3-4e27-b198-a6ed6d025539","RANKED_SOLO_5x5","PLATINUM","I","OFGF0a63xBNjXanEpKTvaev16VuNrRycda7HClfz0hBVM4z0","Aven7Ger",6.0,36.0,41.0,false,false,false,false,,,,,TUf4E-C4XZjJpTTh365v01NR7t2Pvt6wPBol0i8IFJjiQt8
"9eff2ba0-c96b-47f3-9c16-b23c3491501b","RANKED_SOLO_5x5","PLATINUM","I","FFcpN5aYWsx3x3QZuoLXSAnQp8wj_lbT9SKvuzX_wTaqD1J9","Vαlknut",33.0,70.0,49.0,false,false,false,false,,,,,C8oKBUKWuAgAcsjH_NlhOsQqMi21UhAyEA1ncXgEnYcN6yM
