/gameId,/platformId,/gameCreation,/gameDuration,/queueId,/mapId,/seasonId,/gameVersion,/gameMode,/gameType,/teams/teamId,/teams/win,/teams/firstBlood,/teams/firstTower,/teams/firstInhibitor,/teams/firstBaron,/teams/firstDragon,/teams/firstRiftHerald,/teams/towerKills,/teams/inhibitorKills,/teams/baronKills,/teams/dragonKills,/teams/vilemawKills,/teams/riftHeraldKills,/teams/dominionVictoryScore,/participants/participantId,/participants/teamId,/participants/championId,/participants/spell1Id,/participants/spell2Id,/participants/stats/participantId,/participants/stats/win,/participants/stats/item0,/participants/stats/item1,/participants/stats/item2,/participants/stats/item3,/participants/stats/item4,/participants/stats/item5,/participants/stats/item6,/participants/stats/kills,/participants/stats/deaths,/participants/stats/assists,/participants/stats/largestKillingSpree,/participants/stats/largestMultiKill,/participants/stats/killingSprees,/participants/stats/longestTimeSpentLiving,/participants/stats/doubleKills,/participants/stats/tripleKills,/participants/stats/quadraKills,/participants/stats/pentaKills,/participants/stats/unrealKills,/participants/stats/totalDamageDealt,/participants/stats/magicDamageDealt,/participants/stats/physicalDamageDealt,/participants/stats/trueDamageDealt,/participants/stats/largestCriticalStrike,/participants/stats/totalDamageDealtToChampions,/participants/stats/magicDamageDealtToChampions,/participants/stats/physicalDamageDealtToChampions,/participants/stats/trueDamageDealtToChampions,/participants/stats/totalHeal,/participants/stats/totalUnitsHealed,/participants/stats/damageSelfMitigated,/participants/stats/damageDealtToObjectives,/participants/stats/damageDealtToTurrets,/participants/stats/visionScore,/participants/stats/timeCCingOthers,/participants/stats/totalDamageTaken,/participants/stats/magicalDamageTaken,/participants/stats/physicalDamageTaken,/participants/stats/trueDamageTaken,/participants/stats/goldEarned,/participants/stats/goldSpent,/participants/stats/turretKills,/participants/stats/inhibitorKills,/participants/stats/totalMinionsKilled,/participants/stats/neutralMinionsKilled,/participants/stats/totalTimeCrowdControlDealt,/participants/stats/champLevel,/participants/stats/visionWardsBoughtInGame,/participants/stats/sightWardsBoughtInGame,/participants/stats/firstBloodKill,/participants/stats/firstBloodAssist,/participants/stats/firstTowerKill,/participants/stats/firstTowerAssist,/participants/stats/firstInhibitorKill,/participants/stats/firstInhibitorAssist,/participants/stats/combatPlayerScore,/participants/stats/objectivePlayerScore,/participants/stats/totalPlayerScore,/participants/stats/totalScoreRank,/participants/stats/playerScore0,/participants/stats/playerScore1,/participants/stats/playerScore2,/participants/stats/playerScore3,/participants/stats/playerScore4,/participants/stats/playerScore5,/participants/stats/playerScore6,/participants/stats/playerScore7,/participants/stats/playerScore8,/participants/stats/playerScore9,/participants/stats/perk0,/participants/stats/perk0Var1,/participants/stats/perk0Var2,/participants/stats/perk0Var3,/participants/stats/perk1,/participants/stats/perk1Var1,/participants/stats/perk1Var2,/participants/stats/perk1Var3,/participants/stats/perk2,/participants/stats/perk2Var1,/participants/stats/perk2Var2,/participants/stats/perk2Var3,/participants/stats/perk3,/participants/stats/perk3Var1,/participants/stats/perk3Var2,/participants/stats/perk3Var3,/participants/stats/perk4,/participants/stats/perk4Var1,/participants/stats/perk4Var2,/participants/stats/perk4Var3,/participants/stats/perk5,/participants/stats/perk5Var1,/participants/stats/perk5Var2,/participants/stats/perk5Var3,/participants/stats/perkPrimaryStyle,/participants/stats/perkSubStyle,/participants/stats/statPerk0,/participants/stats/statPerk1,/participants/stats/statPerk2,/participants/timeline/participantId,/participants/timeline/role,/participants/timeline/lane,/participants/timeline/creepsPerMinDeltas/0-10,/participants/timeline/xpPerMinDeltas/0-10,/participants/timeline/goldPerMinDeltas/0-10,/participants/timeline/csDiffPerMinDeltas/0-10,/participants/timeline/xpDiffPerMinDeltas/0-10,/participants/timeline/damageTakenPerMinDeltas/0-10,/participants/timeline/damageTakenDiffPerMinDeltas/0-10,/participantIdentities/participantId,/participantIdentities/player/platformId,/participantIdentities/player/accountId,/participantIdentities/player/summonerName,/participantIdentities/player/summonerId,/participantIdentities/player/currentPlatformId,/participantIdentities/player/currentAccountId,/participantIdentities/player/matchHistoryUri,/participantIdentities/player/profileIcon
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,9.0,200.0,50.0,7.0,4.0,9.0,false,3029.0,3116.0,3065.0,3111.0,0.0,0.0,2052.0,3.0,9.0,18.0,2.0,1.0,1.0,207.0,0.0,0.0,0.0,0.0,0.0,41714.0,39303.0,2411.0,0.0,0.0,13836.0,13207.0,628.0,0.0,11814.0,5.0,18108.0,775.0,775.0,0.0,30.0,38837.0,32075.0,6447.0,314.0,10481.0,9650.0,0.0,0.0,29.0,0.0,267.0,16.0,0.0,0.0,false,false,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8229.0,2621.0,0.0,0.0,8226.0,250.0,91.0,0.0,8210.0,0.0,0.0,0.0,8236.0,48.0,0.0,0.0,8138.0,30.0,0.0,0.0,8105.0,16.0,5.0,0.0,8200.0,8100.0,5008.0,5008.0,5001.0,9.0,"DUO_SUPPORT","NONE",1.0,688.2,459.0,-0.02000000000000013,-122.36000000000013,1166.5,320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,10.0,200.0,90.0,4.0,14.0,10.0,false,3285.0,3020.0,3194.0,3165.0,0.0,0.0,0.0,2.0,11.0,14.0,0.0,1.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,54070.0,51678.0,1484.0,908.0,0.0,14103.0,13045.0,176.0,882.0,885.0,1.0,13532.0,1083.0,1083.0,0.0,47.0,18349.0,15170.0,3178.0,0.0,10341.0,10200.0,0.0,0.0,64.0,0.0,151.0,16.0,0.0,0.0,false,false,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8229.0,1194.0,0.0,0.0,8226.0,250.0,507.0,0.0,8210.0,0.0,0.0,0.0,8236.0,48.0,0.0,0.0,8138.0,30.0,0.0,0.0,8106.0,5.0,0.0,0.0,8200.0,8100.0,5008.0,5008.0,5003.0,10.0,"DUO_SUPPORT","NONE",3.9,577.2,438.79999999999995,-0.02000000000000013,-122.36000000000013,804.7,320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"EUW1","JuPTC-OX-4TgCa0p1XrFLVc1FUH_PON0CqM_9iU9O7c9kw","McFish PT","fkBEcRaU5NUsXZ4JC8hWa9j-u6DVouVSa4xv4oZuW3EGajc","EUW1","JuPTC-OX-4TgCa0p1XrFLVc1FUH_PON0CqM_9iU9O7c9kw","/v1/stats/player_history/EUW1/31019232",14.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,"EUW1","MVcKQW7hMy8zDzHKgcp0CXdHswIJk1cIxbzoyDzDaE58Etw","Karrtoffelpuffer","skKFheQI1g6dD_1puI9bjYfGXH2S0OaYCKOkgKq86rDv9mo","EUW1","MVcKQW7hMy8zDzHKgcp0CXdHswIJk1cIxbzoyDzDaE58Etw","/v1/stats/player_history/EUW1/204766500",4363.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,"EUW1","42yYKzEpi8pE-vj8PxBkyarbEB7kNYDfEC66erpn7fVl-A","Scrocchimus","4NrNZzEOxGrgE6Dz39bmtzBJbpzR2gqkQd3ycJ49qCNPOPQ","EUW1","42yYKzEpi8pE-vj8PxBkyarbEB7kNYDfEC66erpn7fVl-A","/v1/stats/player_history/EUW1/36348779",4246.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,"EUW1","jgTDTaXBaSN5GDcBMkwbLqBNpak51bNIYaRof2HvyhZB8wY","Porintal","9EpTlgxZHflNQeyT9PyVtTJ3miL7fIpnrEiydrDTkKGl_yE","EUW1","jgTDTaXBaSN5GDcBMkwbLqBNpak51bNIYaRof2HvyhZB8wY","/v1/stats/player_history/EUW1/206883780",979.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,"EUW1","MoIhLPAD_KHk8ZM_HJNIHqkOuvIc9uxV0y6hknv_CuNR7FM","HeyItsDonyi","u4UzXhvaqaWoZd_3qhaBYdQijvD9C4yCzGGZ8O_UldSGRcM","EUW1","MoIhLPAD_KHk8ZM_HJNIHqkOuvIc9uxV0y6hknv_CuNR7FM","/v1/stats/player_history/EUW1/230808068",3398.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,"EUW1","P3bdwtE_O19vTtkmi45z2z5qUEJ80E_3mLn4kXkkT-RU2A","WrF Lord Chen","Pdb6UF51HojeEOqV4GYWUPDIjll1DuXAAuH8XT7rfY1eMI0","EUW1","P3bdwtE_O19vTtkmi45z2z5qUEJ80E_3mLn4kXkkT-RU2A","/v1/stats/player_history/EUW1/39078829",3175.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,"EUW1","5g_Hunwz85zkh7u6R83XPxNkWAd3cHEZzmZkNMYuRVq1cw","LL Style Zed","HfdJlOPKDedbSPW05IBCiRltsEjaI4li6fhqgUb8Mzpx_1c","EUW1","5g_Hunwz85zkh7u6R83XPxNkWAd3cHEZzmZkNMYuRVq1cw","/v1/stats/player_history/EUW1/41884027",1597.0
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,"EUW1","rEItJQSM2rJ652uLXJjSAeQWB2lB08IB4YkRgNGg1o5vtn6lNGzj_q-9","Silenttjeerd","x09__ecNqAkOqK4a5miTX9WhmratBPrkAVss30kfVyc9UtTB","EUW1","rEItJQSM2rJ652uLXJjSAeQWB2lB08IB4YkRgNGg1o5vtn6lNGzj_q-9","/v1/stats/player_history/EUW1/2148591390856160",3542.0
