matchID,participantID,accountID,originalRegion
4491791641,1,rnaAY6TJnmTX8VRHKY8ZUAlgr-PMfaVMCMflJkIepAbmddLyZS-iCEiq,EUW1
4491791641,2,jRBdsVIajafUOzpo3c8jTybfQ7SEnuEV6DS7PjOP0JyvQFZ-_J8x0c9I,EUW1
4491791641,3,ePBlk_FQ-tUT1Nhr4lKKD5taVAIglMnvKtDWLf1chZ1yyX4,EUW1
4491791641,4,Ru4yyXGuHA36q_oKsMTk3Q8z7vMSDLOReoYNAbaTpmo6fpTC2WnIF2ri,EUW1
4491791641,5,rVX4WFPNCRBj5-HUtt-tBq5FtpB4NnQxyejKjqng0MHeldo,EUW1
4491791641,6,uBbcpUbSU82LLCSsxmsqyXS_MF2W06B27J8yM4DB2wnrRCc,EUW1
4491791641,7,ko5CyQhQelHDYmoFl05MI7zSQ3fpA2tSQrx8F4p0R5e0voqWQdFbPiQl,EUW1
4491791641,8,pv5F16_LcSJ_82JIXlKmIdrGmQ5IQzkdvgPcK7_UlC3CDQpN9VV2k4JQ,EUW1
4491791641,9,O30Cntqc65uY9E12bjHBeXJ-_dt9Hqeo6fr7PfGuZG37rQ,EUW1
4491791641,10,3vVh2Ul-T_NBaTJfoyX8boygKM80_Qs2blXfk6MzJJnztco,EUW1
4491765175,1,mIUXr0RV2CWGkdlcHG8cpnH2flwXG5naxZ4poeI7s2_6ly0,TR1
4491765175,2,Xy3oDbigQTgK10BY1Wb2PXtaFEweOwkuoWREPSt4bq3CClA,EUW1
4491765175,3,2vQE_gPOaP0ad9e2nQoNeeY_RxZ13Wl3gP_xiqU3G885IoPUTPNkka3-,EUW1
4491765175,4,Ymz3GWfrwRV7Ri2HjXVCwh2LEgPjg0Pd0ip3ZbpQ0aBH8mc,EUN1
4491765175,5,SUReuUPn7hkjJGHxO9QmKUkdzGbHIfSaNqZeJgR0QBrjB7hug3Ddmguv,EUW1
4491765175,6,3vVh2Ul-T_NBaTJfoyX8boygKM80_Qs2blXfk6MzJJnztco,EUW1
4491765175,7,BJcljM_-srk1iyDitWbHErzt8vDpLA4VCgExH7uUDaeVKw,EUW1
4491765175,8,rVX4WFPNCRBj5-HUtt-tBq5FtpB4NnQxyejKjqng0MHeldo,EUW1
4491765175,9,v_EvHOnvOtgKLKZYWM-f98IbccrNwcSvEg7o-SvZ6FFhbaM,EUW1
4491765175,10,3CB7ZuK-I6lg9x3Yip_u8fsUtW-MZf_ulhAzsDmeB7n4ng,EUW1
4491310588,1,Da6uPP_qwrjRCBgyhcDcasVzaQ1BxiInLCK-SEXrcYeuMFI,RU
4491310588,2,0BoqELTif2A_hgXwf6_oN1Ef8VvwMNN_GpnLcvQLMAndSLELAEnZP7DD,TR1
4491310588,3,WsjQFKIGJZ9Pg6GREQ6nI6YVyH29M2S0C1wNXmaYgFaIgRU,TR1
4491310588,4,F1Dl-ZgxwDPyVrRYIgSU8pFMPVjsKgwXiv042xqN5aXeDpo,EUW1
4491310588,5,J4uhkWmryKLCPpyNjXsTeZnE_OMl2DWbdPQqoXz2nZRDqw,EUW1
4491310588,6,LcnKyqbA9QTk9bz3ZpeWhduLkHsxU7CWkBdAfj2pn9nje0A,EUW1
4491310588,7,ulNU4JS77EaUnEbMHzx1wmfeGWxEL_3gHt2lARi7AKFeGw,EUW1
4491310588,8,3vVh2Ul-T_NBaTJfoyX8boygKM80_Qs2blXfk6MzJJnztco,EUW1
4491310588,9,mtGQsaHByh2bja0AXPmpPNNnp0FrHICXurdwfDCFlf4Fjg,NA
4491310588,10,u1GHcxf8nrhiui2OiBv7pFqWsH1q-OUcUo0OQFcV7arHEA,EUN1
4491087873,1,20eWgeQMFc76LYQr7OI_0jI-I5oNg66rlrItv8T9lJah_wlAZ7fwyeCL,EUW1
4491087873,2,MO8X61wG8m4Qc8R7Tgir5ZcXDObZ3KtbB2__vwmDczLe-rGyBRvBP5Xm,EUW1
4491087873,3,EpBWGBbAAyP188mxMmXhPFWxZbxURxwsqDaV1bzCmA9gIIc,EUW1
