matchID,bannedChampion
4433016558,91
4433016558,523
4433016558,30
4433016558,38
4433016558,516
4433016558,350
4433016558,875
4433016558,516
4433016558,38
4433016558,64
4406143729,38
4406143729,16
4406143729,-1
4406143729,89
4406143729,131
4406143729,60
4406143729,38
4406143729,523
4406143729,2
4406143729,266
4439055647,523
4439055647,69
4439055647,8
4439055647,412
4439055647,133
4439055647,122
4439055647,69
4439055647,38
4439055647,89
4439055647,107
4401814631,60
4401814631,523
4401814631,24
4401814631,111
4401814631,7
4401814631,523
4401814631,875
4401814631,8
4401814631,60
4401814631,111
4438160231,523
4438160231,235
4438160231,69
4438160231,38
4438160231,432
4438160231,114
4438160231,523
4438160231,8
4438160231,89
4438160231,235
4400293666,82
4400293666,89
4400293666,119
4400293666,8
4400293666,523
4400293666,16
4400293666,875
4400293666,523
4400293666,-1
4400293666,131
4461517988,875
4461517988,38
4461517988,64
4461517988,60
4461517988,39
4461517988,60
4461517988,157
4461517988,350
4461517988,266
4461517988,555
4446031098,21
4446031098,238
4446031098,202
4446031098,875
4446031098,38
4446031098,523
4446031098,25
4446031098,55
4446031098,122
4446031098,64
4434508993,238
4434508993,266
4434508993,154
4434508993,235
4434508993,21
4434508993,24
4434508993,136
4434508993,111
4434508993,64
4434508993,157
4416276450,119
4416276450,60
4416276450,-1
4416276450,38
4416276450,157
4416276450,412
4416276450,238
4416276450,236
4416276450,55
4416276450,114
4406226154,69
4406226154,105
4406226154,164
4406226154,119
4406226154,53
4406226154,238
4406226154,25
4406226154,523
4406226154,111
4406226154,16
4385612303,84
4385612303,21
4385612303,38
4385612303,875
4385612303,89
4385612303,44
4385612303,84
4385612303,235
4385612303,24
4385612303,69
4485931277,55
4485931277,114
4485931277,117
4485931277,64
4485931277,38
4485931277,122
4485931277,89
4485931277,154
4485931277,235
4485931277,238
4468502049,25
4468502049,21
4468502049,523
4468502049,62
4468502049,245
4468502049,421
4468502049,235
4468502049,89
4468502049,38
4468502049,69
4420509832,235
4420509832,523
4420509832,516
4420509832,412
4420509832,421
4420509832,25
4420509832,11
4420509832,516
4420509832,55
4420509832,35
4181608057,92
4181608057,7
4181608057,20
4181608057,-1
4181608057,555
4181608057,31
4181608057,25
4181608057,350
4181608057,111
4181608057,84
4429290704,421
4429290704,107
4429290704,8
4429290704,51
4429290704,523
4429290704,350
4429290704,516
4429290704,25
4429290704,157
4429290704,122
4298920116,111
4298920116,238
4298920116,35
4298920116,80
4298920116,53
4298920116,8
4298920116,7
4298920116,23
4298920116,53
4298920116,25
4458594815,78
4458594815,25
4458594815,89
4458594815,114
4458594815,350
4458594815,122
4458594815,523
4458594815,235
4458594815,38
4458594815,82
4311736404,235
4311736404,119
4311736404,38
4311736404,122
4311736404,25
4311736404,8
4311736404,89
4311736404,84
4311736404,245
4311736404,235
4468881891,429
4468881891,2
4468881891,38
4468881891,157
4468881891,89
4468881891,131
4468881891,21
4468881891,523
4468881891,64
4468881891,38
4406239165,38
4406239165,82
4406239165,55
4406239165,16
4406239165,25
4406239165,122
4406239165,235
4406239165,875
4406239165,38
4406239165,107
4403030457,523
4403030457,60
4403030457,246
4403030457,2
4403030457,84
4403030457,38
4403030457,2
4403030457,69
4403030457,16
4403030457,21
4369370647,9
4369370647,38
4369370647,84
4369370647,89
4369370647,238
4369370647,89
4369370647,2
4369370647,131
4369370647,38
4369370647,39
4436150062,516
4436150062,523
4436150062,875
4436150062,89
4436150062,38
4436150062,30
4436150062,38
4436150062,421
4436150062,517
4436150062,412
4419605555,412
4419605555,55
4419605555,89
4419605555,246
4419605555,875
4419605555,523
4419605555,89
4419605555,114
4419605555,131
4419605555,421
4275882358,412
4275882358,111
4275882358,84
4275882358,119
4275882358,121
4275882358,121
4275882358,80
4275882358,111
4275882358,134
4275882358,235
4195508276,145
4195508276,517
4195508276,114
4195508276,80
4195508276,107
4195508276,245
4195508276,28
4195508276,119
4195508276,555
4195508276,76
4414249749,114
4414249749,-1
4414249749,245
4414249749,875
4414249749,246
4414249749,92
4414249749,523
4414249749,555
4414249749,164
4414249749,2
4390793866,235
4390793866,875
4390793866,64
4390793866,69
4390793866,111
4390793866,523
4390793866,235
4390793866,875
4390793866,246
4390793866,30
4473131550,62
4473131550,111
4473131550,64
4473131550,82
4473131550,69
4473131550,134
4473131550,2
4473131550,38
4473131550,8
4473131550,350
4457518936,60
4457518936,122
4457518936,350
4457518936,235
4457518936,89
4457518936,31
4457518936,875
4457518936,134
4457518936,23
4457518936,516
4416306440,64
4416306440,39
4416306440,38
4416306440,523
4416306440,69
4416306440,875
4416306440,421
4416306440,89
4416306440,246
4416306440,8
4388239934,114
4388239934,235
4388239934,111
4388239934,523
4388239934,38
4388239934,89
4388239934,875
4388239934,55
4388239934,523
4388239934,21
4445151370,875
4445151370,8
4445151370,111
4445151370,38
4445151370,238
4445151370,24
4445151370,38
4445151370,235
4445151370,8
4445151370,60
4423377094,8
4423377094,60
4423377094,86
4423377094,245
4423377094,107
4423377094,164
4423377094,38
4423377094,2
4423377094,235
4423377094,875
