matchID,bannedChampion
4376606830,25
4376606830,114
4376606830,421
4376606830,238
4376606830,69
4376606830,202
4376606830,523
4376606830,69
4376606830,21
4376606830,131
4376491462,14
4376491462,79
4376491462,875
4376491462,84
4376491462,246
4376491462,82
4376491462,85
4376491462,84
4376491462,2
4376491462,-1
4376444416,60
4376444416,30
4376444416,84
4376444416,51
4376444416,23
4376444416,122
4376444416,246
4376444416,157
4376444416,523
4376444416,-1
4376388518,235
4376388518,2
4376388518,122
4376388518,523
4376388518,875
4376388518,30
4376388518,246
4376388518,21
4376388518,2
4376388518,157
4376323348,131
4376323348,875
4376323348,246
4376323348,30
4376323348,21
4376323348,24
4376323348,111
4376323348,21
4376323348,38
4376323348,84
4376304779,84
4376304779,107
4376304779,523
4376304779,64
4376304779,111
4376304779,84
4376304779,122
4376304779,8
4376304779,21
4376304779,246
4376251910,523
4376251910,25
4376251910,89
4376251910,246
4376251910,91
4376251910,246
4376251910,84
4376251910,523
4376251910,875
4376251910,21
4376189135,64
4376189135,114
4376189135,84
4376189135,35
4376189135,246
4376189135,523
4376189135,89
4376189135,64
4376189135,111
4376189135,38
4375659769,157
4375659769,421
4375659769,412
4375659769,107
4375659769,246
4375659769,89
4375659769,523
4375659769,114
4375659769,23
4375659769,82
4375670796,53
4375670796,412
4375670796,246
4375670796,131
4375670796,875
4375670796,523
4375670796,92
4375670796,-1
4375670796,246
4375670796,111
4375506373,82
4375506373,11
4375506373,60
4375506373,412
4375506373,38
4375506373,412
4375506373,114
4375506373,246
4375506373,69
4375506373,235
4375479269,84
4375479269,60
4375479269,-1
4375479269,523
4375479269,69
4375479269,84
4375479269,64
4375479269,238
4375479269,412
4375479269,246
4375430899,82
4375430899,111
4375430899,131
4375430899,84
4375430899,30
4375430899,38
4375430899,84
4375430899,412
4375430899,246
4375430899,64
4375371226,89
4375371226,82
4375371226,523
4375371226,235
4375371226,69
4375371226,142
4375371226,246
4375371226,412
4375371226,875
4375371226,64
4375272136,2
4375272136,246
4375272136,84
4375272136,23
4375272136,412
4375272136,89
4375272136,421
4375272136,246
4375272136,875
4375272136,523
4375207217,98
4375207217,421
4375207217,60
4375207217,7
4375207217,21
4375207217,412
4375207217,30
4375207217,64
4375207217,68
4375207217,246
4375088540,412
4375088540,84
4375088540,64
4375088540,523
4375088540,246
4375088540,38
4375088540,119
4375088540,84
4375088540,523
4375088540,21
4375063469,69
4375063469,412
4375063469,421
4375063469,246
4375063469,82
4375063469,875
4375063469,412
4375063469,523
4375063469,60
4375063469,38
4375037263,21
4375037263,38
4375037263,84
4375037263,235
4375037263,82
4375037263,266
4375037263,412
4375037263,523
4375037263,84
4375037263,246
4374972601,523
4374972601,235
4374972601,69
4374972601,64
4374972601,2
4374972601,412
4374972601,523
4374972601,84
4374972601,246
4374972601,235
4374925972,246
4374925972,84
4374925972,38
4374925972,-1
4374925972,92
4374925972,246
4374925972,245
4374925972,64
4374925972,412
4374925972,84
4372020061,246
4372020061,412
4372020061,235
4372020061,64
4372020061,523
4372020061,523
4372020061,235
4372020061,84
4372020061,-1
4372020061,246
4372073902,238
4372073902,30
4372073902,412
4372073902,64
4372073902,23
4372073902,523
4372073902,84
4372073902,235
4372073902,92
4372073902,157
4371959113,246
4371959113,-1
4371959113,2
4371959113,875
4371959113,412
4371959113,246
4371959113,235
4371959113,2
4371959113,114
4371959113,84
4371914362,111
4371914362,157
4371914362,58
4371914362,84
4371914362,246
4371914362,64
4371914362,84
4371914362,412
4371914362,41
4371914362,39
4371846699,246
4371846699,-1
4371846699,60
4371846699,412
4371846699,84
4371846699,523
4371846699,498
4371846699,157
4371846699,412
4371846699,246
4371748435,92
4371748435,39
4371748435,91
4371748435,84
4371748435,412
4371748435,114
4371748435,-1
4371748435,523
4371748435,432
4371748435,64
4371792234,412
4371792234,246
4371792234,84
4371792234,38
4371792234,69
4371792234,523
4371792234,246
4371792234,25
4371792234,421
4371792234,39
4371697075,64
4371697075,114
4371697075,111
4371697075,84
4371697075,89
4371697075,157
4371697075,64
4371697075,412
4371697075,421
4371697075,111
4371651941,84
4371651941,38
4371651941,412
4371651941,64
4371651941,523
4371651941,412
4371651941,-1
4371651941,523
4371651941,111
4371651941,84
4371574269,64
4371574269,39
4371574269,38
4371574269,82
4371574269,412
4371574269,21
4371574269,60
4371574269,2
4371574269,523
4371574269,238
4370893381,875
4370893381,236
4370893381,111
4370893381,84
4370893381,24
4370893381,164
4370893381,57
4370893381,523
4370893381,69
4370893381,84
4370799323,875
4370799323,164
4370799323,235
4370799323,107
4370799323,111
4370799323,69
4370799323,246
4370799323,523
