matchID,participantID,accountID,originalRegion
4449691166,1,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
4449691166,2,VaOH4Q1Lxacwe4zqfmplOIJpd26gu-btyY0Sq2X1lpINBbU,EUW1
4449691166,3,8sOHXTs62alJ-yURkTSUg-PpNrYyvhDLMwnzNBq-eOq6U56KSBuwoq2d,EUN1
4449691166,4,Zj_1q1gVgyLE5_SG9_cfB7N0zAJhk1X8WS4TgS0L57HzIgU,EUW1
4449691166,5,AaJSy-20ayibv33LzdK1_q8zG2qzOaAGDgXuDdYtMe1Q7GX1vjjxZ0D7,TR1
4449691166,6,28MlBA3t6p2fm1JKaOFTEh7HCEIi8u6EEA6bGRk_A4rJuTrvuRE487Un,EUW1
4449691166,7,1_zEJhKWbRcaz0UTnpXTVTUXpBXz7ptJDmHeJ2S1JKkcsg,EUW1
4449691166,8,SF8uPDR-CGLFiwrlbWB9xHYH5tjGOdMCVZxvI7qp93dZBw,EUW1
4449691166,9,Ol82YtepU0TtIfSMMRLxQe_Ib9S60ge7X7OSXvwWxSkcdgpxkcSG_Bj1,EUW1
4449691166,10,hY9RUKLmKrhilV5pVO3_IzUXIVog9_Q4vquM12WrvJTdjSk,EUN1
4449513414,1,d38k3ERQ2ESJ6hJL7pDRVpo0HQFJ-SeUmO77S-AKcLEOLQ,EUW1
4449513414,2,ENFOz585iS1yF6zMkUA-RRWtBuzEifEsUno-HNHHMVMIYw,EUW1
4449513414,3,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
4449513414,4,6gL0Q-VeyKmnM0-xxQfvCoVzlnd0lh9MfiuceoP9FQtG86abRdmRIdNH,EUW1
4449513414,5,4GzBBt8wrpl-b0dTF9BI-Tp7QxAyBNlYsOC6m9BerjkgVA,EUW1
4449513414,6,w2QFib4B8ihjp8TaLMrx3jMdeG6j-xtzWJ0zAul8mfbiJVs,EUW1
4449513414,7,1sgikSUu-PzmeMvl93eiULGqRHtoveGuVmgTuophf13NLQ,EUW1
4449513414,8,aWQE9TBkpBnVuevilwYg3ksZMSuiPPBC___A_S2uE7dvMrg,EUW1
4449513414,9,EQDTIchtEJAO_t4ukNGkAAWkWHKONaGISiHDCYxi9lpYCl_o34OSa7GB,EUW1
4449513414,10,jWFpbUqdk5xwVHXhHPIRkgUS7LGwfWzF1UES3I0DA1n-zO0-WcjSYLGs,EUW1
4449428423,1,k5joQ3YFYE2xYEoxfPO10Y5VPLGbOGjMRnJ4xwlyPDDSOgcCIR0XEsR5,EUW1
4449428423,2,xsEiZbHAygMTZp93_4R9mTt_Ff7SLSFcScG9Y6ugm1La6W0,EUW1
4449428423,3,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
4449428423,4,Q4BrdM4CGZ_d152HkGTgfa2KgEcsnYI7Hma8Sq31fCQDH9w,EUN1
4449428423,5,dvi0t-OvBNuG_LTErps0p5q_XH75thGOjx_4vfR5TlysMA,EUW1
4449428423,6,O3hNdI5pyGu0N5eoQm8Bd0BuAGxQuuUxhKI1jC--Yp5t-f0,EUW1
4449428423,7,nv-i4jPTB7R4fQFJ3zERt4yIHwkDW-Y7iRNcnGWFsZ4M5g,EUW1
4449428423,8,hBxiDXVmn8MjgNQkSkkMJ8GjKNuqv0PGLPuZ3VElgw9o-7BnkMFg9HY_,EUW1
4449428423,9,g__hw_qDxoMYgiiWso2qOq5HuAfUzl52_zS8MWiHz20xRKJWLBo71Jeg,EUW1
4449428423,10,mVZJnkrNkEu0jrUHrmlDFXpm8SbTPbDX_s-Xj-1KgXuE8A,EUN1
4449452003,1,33tM1GOnTu70fpp4RWcsoT4t6odDjPMkKAP8cGS82L99bdIkN4-VCp5v,EUW1
4449452003,2,-eg3Ta3AIuG2ATbmcJ2onI7GTmtIkRWcpn0ZKYOqA_ZlTF0,EUW1
4449452003,3,Vr_i3P1ehFpzDIdJENcZLmqZbXlE-utF0QLIXTTnCZCF7UUs0o9yCelf,EUW1
4449452003,4,dAnFQMkzwtyV7b9Ds-dVizs3x1T_bcLNzXX4u1LPFXB8ew,EUW1
4449452003,5,XwLfGNn1S0Pcs8wmJtTZQCkoEL3uFbac2LUc2H7GwrdwuS0,EUW1
4449452003,6,Tsbp5ZMzg6FHUKNKJgXrrgcnhE2Y6oLDN4tC-8OjHW0jWpyvh68UbrE0,TR1
4449452003,7,efELcz1EH-aUiw2wNpjb9UlZyOuA131rYqFxv5whZrpeW6N9b6HcF1WY,TR1
4449452003,8,_2BIUj7e_1h74PX_KBuE-Cadn7HrcDpTE3QMJHjpjPoUUw,EUW1
4449452003,9,ubVThCXz0rCg8uJ6esTQs_m7YM-mfZTdbPIgvwB7FXISSbVCJx2dZjZB,EUW1
4449452003,10,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
4449387804,1,758E6ycGAelorZH56UJZsdDG5xkv95l-3ZCuo9XQ57zeqQ,EUN1
4449387804,2,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
4449387804,3,vCEZo5V_8dIPAR7G2Iil258ltG4LADrmRGghD9brxMHsZw,EUW1
4449387804,4,lGTCkxcqJPpRw-S5Uoj_lKh66B1T5QRfKH6Wpxp3yQIY_g,EUW1
4449387804,5,tdkBxVv4-WZi-y4v9TnpxHKSJmGTY0XNrmyfsnKnkyHXOg,EUW1
4449387804,6,8CWnqUUnKHvhrtWpDPWzuJ-ZyvmA7mwrwTwJPz6eyzXerw,EUN1
4449387804,7,HqWZiruvU5esYuVPT8_qLg9PrevPLTNZlP3UEqQTiLXROA,EUW1
4449387804,8,X1poiZn2ux5fEPsX5nOI6BAFM7bqWzkP8zImhcG7Fz0VvUg,EUW1
4449387804,9,ZoIDRqL3cGAK7ekErlgXaMBNwASZpuQ1cAGI2Cb_z0ETLw,EUW1
4449387804,10,O7fmZzuWeAJTxGbFtBOwP0NPaF2S9g0DCHDv8xLQZbiHLpk,EUW1
4449269470,1,Evhb5Zl11OMu3m9hKIz3TXCLQzWFayht1p8QwjgSH6Xxy1w,EUW1
4449269470,2,boLg-qIISNXSEfZm7M3rJ2AS4qMz7PAfS_0ck5Xs8Iwwdw,EUW1
4449269470,3,gW215OEvRWxG8htE7lJ7ludq-hxYjIXugky6yml0QQHWJu04chW0FYc_,EUW1
4449269470,4,d38k3ERQ2ESJ6hJL7pDRVpo0HQFJ-SeUmO77S-AKcLEOLQ,EUW1
4449269470,5,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
4449269470,6,ePgxrtGeRarb4cdJdJBAB6InHY81RpokhjeCNpAdPBSg-w,EUW1
4449269470,7,jNS_7ahARD19bnMd496Am9QyBVVA_xn1BV9SKjKT5gZNqQ,EUN1
4449269470,8,IemNkiZ51fknNhKViwj1LDNBQX7D65ICeae4OLuyHpMfGUY,EUW1
4449269470,9,actY4X6cN5qSh0PJlWmlN1-pR_lGSSrkZFpAPehLv2yKlHA,TR1
4449269470,10,lTTjJjtYjufvA_u0uG_KD5X6QrlRKQMXEI0syYJAusMmAg,EUW1
4449224841,1,mLgutmbWaw9Qs_-9G7sv7Fe0eknFAjDZbQ1uPZV2liPjlg,EUW1
4449224841,2,nQcSTKYW7OwqpWOXxIy1wkDd-2tgwDLx_74GpuYTU77Vig,EUN1
4449224841,3,5mnFQHtO7y6-2saPmsG1aRMUuFnpwQedixCGIfn5IvRRr6k,EUW1
