matchID,accountID,participantID,championId,teamId,spell1,spell2,firstBlood,firstInhib,firstTower,goldEarned,creepKills,kills,deaths,assists,item0,item1,item2,item3,item4,item5,item6,visionScore
4450001812,WAwrVTDH2FatmCra2NqjRKU_nucNc8IwKdnwWtxKodoTbspaekt2_3zF,1,82,100,12,4,false,false,false,6553,92,4,6,3,3047,3152,1054,2055,3136,0,3340,13
4450001812,J7XjUs4oyDYhCc0__EQJoM7v14XBbCspqG6vNF6rcsw-kjsnjLkir-Yt,2,154,100,11,4,false,false,false,5980,24,2,5,7,3047,2421,1029,3067,1401,1028,3364,10
4450001812,HNBb1t6ithhgaBgR5KcIXf3RuyeEMcRvVX26Eyij0s9OfZo,3,81,100,7,4,false,false,false,5923,101,3,6,3,1055,1055,3158,3004,3057,0,3340,9
4450001812,20VITQtkdhDPhj4phneOY0NWmpYHQWh-wVwzJeS-OIPXrrU,4,39,100,14,4,true,false,false,6803,141,2,5,1,3091,3077,1028,3111,1055,0,3340,11
4450001812,7k5BcWqb6qpAk4Wg_T0oRXCyKdCGPHYsTaYP_C0y23Em4GOkEthdxvG7,5,350,100,3,14,false,false,false,5429,10,2,3,8,3853,3174,3504,0,1082,0,3364,31
4450001812,vKlcSVR7SFZuzNjSV9e9ccEot1l0C5YCEj_u_HZrMK1GeFtjE-PqbB5I,6,35,200,14,11,false,false,false,9349,34,5,2,8,1419,3077,3123,3071,0,3006,3364,10
4450001812,5xTNvqMBrdTCdUQFbWPWtF1wo5N6jft08FIBssfFHQweMg,7,105,200,4,14,false,false,false,9183,149,6,1,2,2033,3157,3152,3020,1082,1052,3364,14
4450001812,FYmF0WbHXdCZ2d8YMogq6THrXzhlIx-9R95-TGSb8IUmUg,8,89,200,14,4,false,false,false,6089,26,2,3,13,3859,3193,2055,3117,3067,0,3364,30
4450001812,LpJ_nsgJ3A15dQ9fWUclDy5san5SbID6GCxvVcPZ6yBh2Q,9,429,200,7,4,false,false,false,9165,126,9,6,7,3153,3123,2055,3006,1055,3086,3363,12
4450001812,y6nsvpAlTDdTSGbtjQx65kvsEOX8r_TjNrzB4U9gMmqlrg,10,41,200,4,12,false,false,false,9223,150,3,1,10,2033,3078,3508,1001,2055,0,3363,9
4449050455,eQhfMlONdzGpLXNv5AK_iIYQWRd9T-mUrRYOHLpghZOJU4yTv8Axyr9z,1,59,100,4,11,false,false,false,7943,19,3,6,4,3076,3193,1028,1028,3111,1413,3364,21
4449050455,PaM754sjB92q94FSbcJUdQ1eqjdeoj5uptcJat8WMdUPBA,2,8,100,4,12,false,false,true,8057,134,4,8,2,3020,2424,3152,3108,1082,3165,3340,12
4449050455,m7d1hfnlnjVBNO2k9jlZ8aEeH6J0Z7j0N1-73bHlJWppag,3,161,100,3,4,false,false,false,6195,38,2,7,3,0,3853,1052,3151,1028,3020,3364,38
4449050455,W9Su29G0dFvgIPBXv2bILMIvS4qHYmqCpn-86-7cS9Dx2Q,4,91,100,14,4,false,false,false,8800,156,6,5,2,3133,3077,1036,3147,3009,3134,3364,20
4449050455,vwqK6emK_t161fMVgwzDKcu7-uPzPIyqPEtLdpyMlj3F1g,5,81,100,4,7,false,false,false,7190,146,0,3,1,1055,1083,3042,3158,3057,1028,3363,11
4449050455,w-PWIhTtR8sYUgCr_b-E5mKcYiFxHIvQZiS6siPDmDte73D23nnNUVnc,6,43,200,4,12,false,false,false,7074,127,1,8,4,3174,3285,3158,2055,0,0,3363,6
4449050455,A0fTllZUXNQ1AINcQ1Ar8Y0U1Ba8w-7BzLHNzOXkXVY-YQ,7,111,200,14,4,false,false,false,7407,79,2,1,14,2424,3050,2055,3109,1054,3117,3340,24
4449050455,20VITQtkdhDPhj4phneOY0NWmpYHQWh-wVwzJeS-OIPXrrU,8,134,200,14,4,true,false,false,11286,196,8,1,7,1026,3136,3157,1056,3285,3020,3363,27
4449050455,TIhmZFmoh-wLafhNYwVRTCi-FuoC8ua3QLKqM1MmevEjUDMcOmQiHQXs,9,36,200,11,4,false,false,false,12030,26,13,0,8,3075,1413,3065,1033,3211,3047,3364,13
4449050455,WTAq-hM2oXMN5H7diD-z5Q7fLW9a2_NdrJgHUTqQCSRKiBg,10,235,200,4,7,false,false,false,7919,30,5,5,9,3864,3179,2422,3147,0,3134,3364,37
4447867528,XC7GFzfVAcFUDTWnce64gDHPWK5ZxW1iXdfD6zePeZGPeA,1,81,100,4,12,false,false,false,15909,177,15,5,9,3026,3140,3025,3153,3042,3158,3363,40
4447867528,gjntQj8CI9qDUARRu_ewIH3RBa_S9sAikEW-egXZCOtIcA_N-hwjukW2,2,432,100,14,4,false,false,false,10080,32,3,11,17,2421,3094,3853,3117,3742,3108,3364,82
4447867528,qA3lMu7irYURVzfD-enc35K7JISX8UmJxRbAjusMuk5tTP0,3,64,100,4,11,true,false,false,13003,35,6,5,13,3156,1031,0,3071,1412,3111,3340,41
4447867528,C0DPArnnRIvKPEtN2zftzW7jHinzmP3mt9db-JQ8w87_9bg,4,41,100,4,12,false,false,false,14769,210,7,5,11,3078,3052,3111,3508,3031,1037,3363,38
4447867528,TmNrk52mCUX49qxELe7CSHbZczx0kBjn9s5LXJpeweQ,5,268,100,12,4,false,true,false,13178,236,2,8,7,1026,3285,3157,1056,3020,3089,3363,48
4447867528,UEMde42USrTwVGKoalQKLYGD_HnxhvHWmTBjbx_vURDxGw,6,60,200,4,11,false,false,false,11470,28,9,7,6,3157,2031,1026,3020,3165,1402,3364,49
4447867528,ooRiU344zLdADSPAXFUFOPlce6UgHtVrZ4k8GBSWIA,7,82,200,4,12,false,false,true,14567,212,7,8,4,3152,3157,3009,3116,3115,3136,3363,24
4447867528,WT8LkEP6ZMF0kpaF95fkIj9mEnE2W0Kp3ETL_bmHB45EDKM,8,67,200,7,4,false,false,false,10674,198,3,8,4,3124,3153,3006,1055,3086,1042,3363,17
4447867528,F21IijjhrKg8LgHABDJsHngCBRSToOYkzZM_ox0qEZCjlw,9,267,200,14,4,false,false,false,7711,16,0,5,19,3107,3853,2055,3174,1033,3117,3364,68
4447867528,20VITQtkdhDPhj4phneOY0NWmpYHQWh-wVwzJeS-OIPXrrU,10,246,200,14,4,false,false,false,16587,241,14,5,5,3053,3077,3142,3117,3147,3814,3364,29
4447494376,3SAP1QaasvIgpmVmse2jqyJCjTql7GQG1vtCL7fRmAsGKO0,1,53,100,14,4,false,false,false,7480,25,1,5,14,3117,3860,3050,2055,3109,0,3364,61
4447494376,XfQSdRQj5LJj8uOTzRL4WILfWuLlHwOEAu3qjIHqTMcwfg,2,523,100,4,7,false,false,false,14785,222,10,6,5,1055,3508,3006,3085,3031,1053,3363,12
4447494376,dvi0t-OvBNuG_LTErps0p5q_XH75thGOjx_4vfR5TlysMA,3,42,100,4,12,false,false,false,11471,217,2,4,7,3078,2033,2423,3020,3031,0,3340,22
4447494376,20VITQtkdhDPhj4phneOY0NWmpYHQWh-wVwzJeS-OIPXrrU,4,517,100,14,4,false,false,false,11874,175,9,4,6,1026,3152,3157,1082,3111,3802,3363,26
4447494376,pIHyvHp_7Zjp3JS8RDY8ycluen9RGaG0dbvF7QWox-YmuF5ThxLavNVU,5,59,100,4,11,true,false,false,11259,48,5,4,13,3053,1412,2055,0,3111,3071,3364,41
4447494376,BnZVooPiA7hWtZ-uvPQpkJzOxIf2Y6oi55l1FUNPM8h2bCUfXyke8WKW,6,103,200,4,14,false,false,false,13029,188,9,5,5,3089,3165,2055,3285,1052,3020,3364,27
4447494376,gxkgkRTvsHPvmUPnWPlq3gd1hMFLjGOQiVbHKejhOIrBwA3ofz1xBKHG,7,432,200,14,4,false,false,false,8160,23,5,9,8,3853,2055,3742,3174,3117,1052,3364,71
4447494376,4Q_IeZRiB3Z4BMmo8p0drnH2TtGTsiKNEXqZ5sJ9EgHxnXntgAXHOe3U,8,266,200,4,12,false,false,false,10125,190,2,5,4,1054,3812,3111,3071,1038,2055,3340,12
4447494376,uKjN3PwSKgMiYCZkExYLD13kQfAKqs-j0xMfferMKVR9PA,9,18,200,4,7,false,false,true,11437,172,4,6,7,1055,3031,3094,3006,3508,0,3363,29
4447494376,hQCdAI2yOqP1UvpMLkxrySeN_rEEeB_ozjE_ZX3SbNYUlA,10,20,200,4,11,false,false,false,11125,38,3,2,7,1413,2055,3193,3047,3742,3067,3364,42
4446203557,0W6tj1Ky33RbA0uSF-BKEcbEfClgH0MnlHaifYg0npwXqPL7WLcD2AIS,1,121,100,4,11,true,false,false,11171,25,6,8,14,1412,3147,3047,3071,3052,0,3364,23
4446203557,uRi398ALt8o7TvpTuLvnHLGD9aQYcapCTzeq-on-KGqqYA,2,111,100,4,14,false,false,false,8034,37,3,8,13,3047,1057,3860,1031,3050,3109,3364,56
4446203557,szFmtzsocgUywnkvZUDhwZxbrPHSRBykJR7bE8LsYmN-Xf0,3,78,100,4,12,false,false,false,10548,162,5,5,14,3068,3194,1031,3047,1011,3076,3340,19
4446203557,nopsY45W1bcPXmis4p_cJd8b7pUjTw8V3J4euEkQDv14Wh2ro44F_D5A,4,81,100,7,4,false,false,false,15312,228,12,4,14,3072,3158,3153,3042,3025,3123,3363,14
4446203557,20VITQtkdhDPhj4phneOY0NWmpYHQWh-wVwzJeS-OIPXrrU,5,7,100,14,4,false,false,false,13814,199,13,4,12,0,1026,3157,3020,3285,3089,3364,24
4446203557,ENFOz585iS1yF6zMkUA-RRWtBuzEifEsUno-HNHHMVMIYw,6,145,200,7,4,false,false,false,15483,202,9,6,3,3042,2420,3006,3089,3115,3124,3363,12
4446203557,2UnqFVN9etT7zINOlXOzCkPnFiVx1oASdfm-BSvFJQ6Makc,7,517,200,4,12,false,false,false,13015,135,7,9,10,3089,3152,2033,3285,3020,3108,3364,29
4446203557,fXvJ6TlDrclGWkLyTtrygFaICL66EJL29glV-cKHH5dlUg,8,164,200,12,4,false,false,false,14108,196,8,7,6,3078,3074,2421,3047,3812,0,3363,20
4446203557,GlQhCVr3dQVfZOogqDsQyTl7OzLVojyIkZJb_lnTlrYpEtQ,9,432,200,14,4,false,true,false,8960,21,1,7,14,2055,3050,3853,1028,3117,3742,3364,81
4446203557,O6CLwVGUWBClu1dVygj_32wzUTN-ruC7k_gVjyk9REXiXg,10,64,200,4,11,false,false,false,11131,29,4,10,10,1412,0,3053,3071,3047,0,3340,24
4441945894,HqWZiruvU5esYuVPT8_qLg9PrevPLTNZlP3UEqQTiLXROA,1,12,100,4,14,false,false,false,6581,22,0,4,12,3860,3050,0,1057,3009,1029,3364,45
4441945894,SMdEo_JZ324yKXRIME8YNLgD1ZPdUm1VcgNpeZTqvZqCovA_ddUsxRZ0,2,119,100,4,7,false,false,false,10211,181,2,3,7,1055,0,3072,3006,3031,0,3363,33
4441945894,VL49YEThVkD8Bl7M0Mf7qipgDkjJi_-VKpEMYzIbvQQ04mY,3,106,100,12,4,false,false,false,10083,156,3,4,5,0,3109,3800,3009,3068,0,3364,23
