matchID,teamID,win,firstBlood,firstRiftHerald,riftHeraldKills,firstBaron,baronKills,firstDragon,dragonKills,firstInhib,inhibKills,firstTower,towerKills,matchDurationSeconds
4497513228,100,Fail,false,true,1,false,0,false,0,false,0,true,4,1422
4497513228,200,Win,true,false,0,true,1,true,3,true,1,false,4,1422
4495934106,100,Win,true,false,0,false,0,false,0,true,1,true,5,525
4495934106,200,Fail,false,false,0,false,0,false,0,false,0,false,0,525
4494541854,100,Fail,true,false,0,false,0,false,0,false,0,false,0,1432
4494541854,200,Win,false,true,2,false,0,true,3,true,2,true,10,1432
4494452996,100,Fail,true,false,0,true,1,true,3,false,0,true,3,1903
4494452996,200,Win,false,true,2,false,1,false,2,true,2,false,9,1903
4494429298,100,Fail,true,false,0,false,0,false,0,false,0,false,1,1618
4494429298,200,Win,false,true,1,true,1,true,3,true,3,true,11,1618
4491923503,100,Win,true,true,1,false,0,true,2,false,0,true,2,966
4491923503,200,Fail,false,false,0,false,0,false,0,false,0,false,0,966
4491950873,100,Win,true,true,1,false,0,true,1,true,1,true,6,717
4491950873,200,Fail,false,false,0,false,0,false,0,false,0,false,1,717
4491511320,100,Fail,false,false,0,false,0,false,0,false,0,false,1,1623
4491511320,200,Win,true,true,2,true,1,true,3,true,1,true,5,1623
4490068712,100,Fail,false,true,1,false,0,true,1,false,0,true,2,1946
4490068712,200,Win,true,false,0,true,1,false,4,true,3,false,9,1946
4489299260,100,Win,false,false,0,false,0,false,1,true,1,false,7,1370
4489299260,200,Fail,true,true,2,false,0,true,2,false,0,true,3,1370
4487426361,100,Win,true,true,1,true,2,false,3,false,1,false,9,2168
4487426361,200,Fail,false,false,0,false,0,true,2,true,1,true,7,2168
4487255804,100,Win,false,true,2,true,1,true,4,true,4,true,11,1629
4487255804,200,Fail,true,false,0,false,0,false,0,false,0,false,0,1629
4484779806,100,Win,true,true,2,true,1,true,3,true,1,true,7,1437
4484779806,200,Fail,false,false,0,false,0,false,0,false,0,false,2,1437
4482303209,100,Fail,true,false,0,false,0,false,1,false,0,false,1,1380
4482303209,200,Win,false,true,1,true,1,true,2,true,2,true,10,1380
4482014340,100,Fail,true,false,0,false,0,false,0,false,0,false,1,1434
4482014340,200,Win,false,true,2,true,1,true,3,true,2,true,10,1434
4481914501,100,Win,false,false,0,false,0,true,4,false,2,false,11,1977
4481914501,200,Fail,true,true,2,true,1,false,1,true,1,true,6,1977
4481421091,100,Fail,false,true,1,false,0,true,1,false,0,true,3,1410
4481421091,200,Win,true,false,1,true,1,false,2,true,1,false,7,1410
4481255222,100,Win,true,true,1,true,1,true,3,true,2,true,10,1467
4481255222,200,Fail,false,false,0,false,0,false,0,false,0,false,1,1467
4481187039,100,Win,false,true,2,false,0,true,2,true,1,true,6,1154
4481187039,200,Fail,true,false,0,false,0,false,0,false,0,false,0,1154
4480300640,100,Fail,false,false,0,false,0,false,1,false,0,false,1,1617
4480300640,200,Win,true,true,2,true,1,true,2,true,3,true,11,1617
4480120202,100,Fail,false,true,1,false,0,true,3,false,0,false,4,1982
4480120202,200,Win,true,false,0,true,1,false,2,true,3,true,11,1982
4480044655,100,Win,false,true,1,true,1,true,4,true,3,true,11,2014
4480044655,200,Fail,true,false,0,false,0,false,1,false,0,false,4,2014
4478928887,100,Win,true,false,0,false,1,false,5,true,3,true,10,2192
4478928887,200,Fail,false,true,1,true,1,true,1,false,0,false,2,2192
4478872450,100,Win,true,false,0,true,1,false,1,true,1,false,8,1601
4478872450,200,Fail,false,true,2,false,0,true,3,false,0,true,5,1601
4478736730,100,Fail,false,false,1,false,0,false,0,false,0,false,1,1311
4478736730,200,Win,true,true,1,false,0,true,3,true,1,true,7,1311
4476136683,100,Fail,true,true,1,false,0,false,0,false,0,false,1,1293
4476136683,200,Win,false,false,1,true,1,true,3,true,1,true,8,1293
4475743695,100,Win,true,true,1,false,0,true,1,true,1,true,5,699
4475743695,200,Fail,false,false,0,false,0,false,1,false,0,false,0,699
4475645578,100,Fail,true,false,0,false,0,true,1,false,0,false,2,1499
4475645578,200,Win,false,false,0,true,1,false,2,true,2,true,9,1499
4475534797,100,Win,true,true,2,true,1,true,3,true,1,false,10,1440
4475534797,200,Fail,false,false,0,false,0,false,0,false,0,true,1,1440
4474576657,100,Fail,true,true,1,false,0,false,0,false,0,false,1,1030
4474576657,200,Win,false,false,1,false,0,true,2,true,1,true,9,1030
4474673278,100,Fail,true,false,0,false,0,true,1,false,0,false,2,1741
4474673278,200,Win,false,true,1,true,1,false,3,true,1,true,9,1741
4474621855,100,Win,false,false,1,false,0,true,2,true,2,true,10,1203
4474621855,200,Fail,true,true,1,false,0,false,0,false,0,false,1,1203
4474399155,100,Win,true,true,1,true,1,false,1,true,1,false,8,1677
4474399155,200,Fail,false,false,0,false,0,true,3,false,0,true,1,1677
4473316622,100,Win,true,true,2,true,1,false,2,true,3,true,10,1796
4473316622,200,Fail,false,false,0,false,0,true,2,false,0,false,3,1796
4473263154,100,Win,false,true,1,true,1,true,3,true,1,false,7,2000
4473263154,200,Fail,true,false,1,false,0,false,2,false,0,true,5,2000
4472979991,100,Fail,false,true,1,true,2,false,2,false,0,true,4,1688
4472979991,200,Win,true,false,1,false,0,true,3,true,2,false,8,1688
4472877189,100,Fail,false,false,0,false,0,true,3,false,0,false,3,1952
4472877189,200,Win,true,true,1,true,2,false,2,true,3,true,10,1952
4470881974,100,Win,false,false,1,false,0,false,1,true,1,true,4,1288
